cve_id,description,published_date,cvss_score,vendor_raw,software_raw,vendor,software,software_version,operatig_system,source,reason,trigger,attacker_action,user_interaction,system_state,network_access,privilege,vulnerability_type,consequences
CVE-2023-6600,"The OMGF | GDPR/DSGVO Compliant, Faster Google Fonts. Easy. plugin for WordPress is vulnerable to unauthorized modification of data and Stored Cross-Site Scripting due to a missing capability check on the update_settings() function hooked via admin_init in all versions up to, and including, 5.7.9. This makes it possible for unauthenticated attackers to update the plugin's settings which can be used to inject Cross-Site Scripting payloads and delete entire directories. PLease note there were several attempted patched, and we consider 5.7.10 to be the most sufficiently patched.",2024-01-03T05:31:18.483Z,8.6,daanvandenbergh,"OMGF | GDPR/DSGVO Compliant, Faster Google Fonts. Easy.",WordPress,"OMGF | GDPR/DSGVO Compliant, Faster Google Fonts. Easy. plugin",up to and including 5.7.9,N/A,update_settings() function,missing capability check,admin_init hook triggering update_settings() without proper checks,"update plugin's settings, inject Cross-Site Scripting payloads, and delete directories",No,N/A,Remote,Unauthenticated,Unauthorized modification of data and Stored Cross-Site Scripting,Injection of XSS payloads and deletion of directories
CVE-2023-6944,"A flaw was found in the Red Hat Developer Hub (RHDH). The catalog-import function leaks GitLab access tokens on the frontend when the base64 encoded GitLab token includes a newline at the end of the string. The sanitized error can display on the frontend, including the raw access token. Upon gaining access to this token and depending on permissions, an attacker could push malicious code to repositories, delete resources in Git, revoke or generate new keys, and sign code illegitimately.",2024-01-04T10:02:38.088Z,5.7,Red Hat,Red Hat Developer Hub,Red Hat,Developer Hub (RHDH),N/A,N/A,catalog-import function,leaks GitLab access tokens when newline is included in base64 encoded string,base64 encoded GitLab token includes a newline at the end of the string,"gain access to token, push malicious code, delete resources, revoke/generate keys, sign code",No,GitLab access tokens in the catalog-import function,Remote,Depends on permissions of the token,Information Disclosure,"Push malicious code, delete resources, revoke or generate keys, sign code illegitimately"
CVE-2023-6733,"The WP-Members Membership Plugin plugin for WordPress is vulnerable to Sensitive Information Exposure in all versions up to, and including, 3.4.8 via the wpmem_field shortcode. This makes it possible for authenticated attackers, with contributor access and above, to extract sensitive data including user emails, password hashes, usernames, and more.",2024-01-04T03:30:12.554Z,6.5,cbutlerjr,WP-Members Membership Plugin,WordPress,WP-Members Membership Plugin,up to and including 3.4.8,N/A,wpmem_field shortcode,exposure of sensitive information through the shortcode,use of the wpmem_field shortcode by authenticated attackers,extract sensitive data,No,,Remote,Authenticated (contributor access and above),Sensitive Information Exposure,"Exposure of sensitive data including user emails, password hashes, usernames"
CVE-2023-6621,"The POST SMTP WordPress plugin before 2.8.7 does not sanitise and escape the msg parameter before outputting it back in the page, leading to a Reflected Cross-Site Scripting which could be used against high privilege users such as admin.",2024-01-03T08:32:42.957Z,,Unknown,POST SMTP,WordPress,POST SMTP plugin,before 2.8.7,N/A,msg parameter,does not sanitise and escape the msg parameter before outputting it back in the page,outputting the msg parameter back in the page,Craft a malicious msg parameter to reflect scripts into the page,Yes,,Remote,Authenticated,Reflected Cross-Site Scripting (XSS),Could execute arbitrary scripts against high privilege users such as admin
CVE-2023-6436,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Ekol Informatics Website Template allows SQL Injection.This issue affects Website Template: through 20231215.,2024-01-02T12:15:12.010Z,9.8,Ekol Informatics,Website Template,Ekol Informatics,Website Template,through 20231215,N/A,SQL command,Improper neutralization of special elements,Special Elements used in an SQL Command,Execute SQL Injection,No,,Remote,Unauthenticated,SQL Injection,Allows unauthorized database access and manipulation
CVE-2023-6000,"The Popup Builder WordPress plugin before 4.2.3 does not prevent simple visitors from updating existing popups, and injecting raw JavaScript in them, which could lead to Stored XSS attacks.",2024-01-01T14:18:56.633Z,,Unknown,Popup Builder,WordPress,Popup Builder plugin,before 4.2.3,N/A,Popup updating mechanism,Does not prevent unauthorized users from updating popups and injecting JavaScript,Simple visitors updating existing popups and injecting JavaScript,Update existing popups and inject raw JavaScript,No,,Remote,Unauthenticated,Stored XSS,Potential execution of malicious JavaScript code in the context of users who view the popups
CVE-2023-6037,"The WP TripAdvisor Review Slider WordPress plugin before 11.9 does not sanitise and escape some of its settings, which could allow high privilege users such as admin to perform Stored Cross-Site Scripting attacks even when the unfiltered_html capability is disallowed (for example in multisite setup)",2024-01-01T14:18:57.409Z,,Unknown,WP TripAdvisor Review Slider,WordPress,WP TripAdvisor Review Slider plugin,before 11.9,N/A,some of its settings,does not sanitise and escape some of its settings,settings not being sanitized and escaped,perform Stored Cross-Site Scripting attacks,No,multisite setup where unfiltered_html capability is disallowed,Local,High privilege (such as admin),Stored Cross-Site Scripting,Potential execution of malicious scripts in the context of other users' sessions
CVE-2023-6113,"The WP STAGING WordPress Backup Plugin before 3.1.3 and WP STAGING Pro WordPress Backup Plugin before 5.1.3 do not prevent visitors from leaking key information about ongoing backups processes, allowing unauthenticated attackers to download said backups later.",2024-01-01T14:18:58.931Z,,Unknown,WP STAGING WordPress Backup Plugin,WordPress,"WP STAGING WordPress Backup Plugin, WP STAGING Pro WordPress Backup Plugin","WP STAGING before 3.1.3, WP STAGING Pro before 5.1.3",N/A,Backup process handling,do not prevent visitors from leaking key information about ongoing backups processes,Fetching backup information,Download the backups,No,,Remote,Unauthenticated,Information Disclosure,Unauthorized access and download of backup files
CVE-2023-6693,"A stack based buffer overflow was found in the virtio-net device of QEMU. This issue occurs when flushing TX in the virtio_net_flush_tx function if guest features VIRTIO_NET_F_HASH_REPORT, VIRTIO_F_VERSION_1 and VIRTIO_NET_F_MRG_RXBUF are enabled. This could allow a malicious user to overwrite local variables allocated on the stack. Specifically, the `out_sg` variable could be used to read a part of process memory and send it to the wire, causing an information leak.",2024-01-02T09:15:08.280Z,4.9,Red Hat,Red Hat Enterprise Linux 8,QEMU,virtio-net device,N/A,N/A,virtio_net_flush_tx function,Stack based buffer overflow,"Flushing TX in virtio_net_flush_tx when VIRTIO_NET_F_HASH_REPORT, VIRTIO_F_VERSION_1, and VIRTIO_NET_F_MRG_RXBUF are enabled",Overwrite local variables allocated on the stack,No,"Guest features VIRTIO_NET_F_HASH_REPORT, VIRTIO_F_VERSION_1 and VIRTIO_NET_F_MRG_RXBUF are enabled",Remote,N/A,Stack based buffer overflow,Information leak by reading process memory and sending it to the wire
CVE-2023-7192,A memory leak problem was found in ctnetlink_create_conntrack in net/netfilter/nf_conntrack_netlink.c in the Linux Kernel. This issue may allow a local attacker with CAP_NET_ADMIN privileges to cause a denial of service (DoS) attack due to a refcount overflow.,2024-01-02T19:02:45.371Z,5.5,Red Hat,Red Hat Enterprise Linux 8.2 Advanced Update Support,Linux,Linux Kernel,N/A,Linux,net/netfilter/nf_conntrack_netlink.c,memory leak due to a refcount overflow,Use of ctnetlink_create_conntrack,Cause a denial of service (DoS) attack,No,Local attacker with CAP_NET_ADMIN privileges,Local,CAP_NET_ADMIN privileges,Denial of Service (DoS),Denial of service due to a refcount overflow
CVE-2023-7224,OpenVPN Connect version 3.0 through 3.4.6 on macOS allows local users to execute code in external third party libraries using the DYLD_INSERT_LIBRARIES environment variable,2024-01-08T13:55:20.160Z,,OpenVPN,OpenVPN Connect,OpenVPN,OpenVPN Connect,3.0 through 3.4.6,macOS,external third party libraries,use of the DYLD_INSERT_LIBRARIES environment variable,manipulation of DYLD_INSERT_LIBRARIES environment variable,execute code in external third party libraries,No,Local user access,Local,Local user,Code execution,Local users can execute arbitrary code
CVE-2023-7212,A vulnerability classified as critical has been found in DeDeCMS up to 5.7.112. Affected is an unknown function of the file file_class.php of the component Backend. The manipulation leads to unrestricted upload. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249768. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,2024-01-07T16:31:03.923Z,4.7,,DeDeCMS,DeDeCMS,DeDeCMS,up to 5.7.112,N/A,file_class.php of the component Backend,Unknown,Manipulation of file_class.php,Upload unrestricted content,No,None specified,Remote,None,Unrestricted upload,Allows attackers to upload malicious files to the server
CVE-2023-7213,A vulnerability classified as critical was found in Totolink N350RT 9.3.5u.6139_B20201216. Affected by this vulnerability is the function main of the file /cgi-bin/cstecgi.cgi?action=login&flag=1 of the component HTTP POST Request Handler. The manipulation of the argument v33 leads to stack-based buffer overflow. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249769 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,2024-01-07T19:00:05.222Z,6.3,Totolink,N350RT,Totolink,N350RT,9.3.5u.6139_B20201216,N/A,function main of the file /cgi-bin/cstecgi.cgi?action=login&flag=1,manipulation of the argument v33,manipulation of the argument v33,Launch an attack remotely,No,,Remote,Unauthenticated,Stack-based buffer overflow,Potential remote code execution or crash
CVE-2023-7211,A vulnerability was found in Uniway Router 2.0. It has been declared as critical. This vulnerability affects unknown code of the component Administrative Web Interface. The manipulation leads to reliance on ip address for authentication. The attack can be initiated remotely. The complexity of an attack is rather high. The exploitation appears to be difficult. The exploit has been disclosed to the public and may be used. VDB-249766 is the identifier assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,2024-01-07T10:00:05.512Z,5.6,Uniway,Router,Uniway,Router,2.0,N/A,Administrative Web Interface,reliance on IP address for authentication,manipulation of unknown code,initiate attack remotely,No,,Remote,Unauthenticated,authentication bypass,May lead to unauthorized access to administrative features
CVE-2023-3726,OCSInventory allow stored email template with special characters that lead to a Stored cross-site Scripting.,2024-01-04T14:39:43.942Z,4.9,OCSInventory,OCSInventory,OCSInventory,OCSInventory,N/A,N/A,Email template handling,Allows storage of email templates with special characters,Stored email template with special characters,Insert special characters into stored email templates,"Potentially, viewing the crafted email template",Email template with special characters is stored,Remote,Authenticated user to create or edit email templates,Stored Cross-Site Scripting (XSS),Execution of malicious scripts in the context of the user's browser
CVE-2023-50948,"IBM Storage Fusion HCI 2.1.0 through 2.6.1 contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data. IBM X-Force ID: 275671.",2024-01-08T01:43:08.302Z,6.5,IBM,Storage Fusion HCI,IBM,Storage Fusion HCI,2.1.0 through 2.6.1,N/A,Hard-coded credentials,Usage of hard-coded credentials for authentication and encryption,"Inbound authentication, outbound communication to external components, or encryption of internal data",Access or intercept communications using the hard-coded credentials,No,,,,Use of Hard-coded Credentials,Potential unauthorized access or interception of communications
CVE-2023-50974,"In Appwrite CLI before 3.0.0, when using the login command, the credentials of the Appwrite user are stored in a ~/.appwrite/prefs.json file with 0644 as UNIX permissions. Any user of the local system can access those credentials.",2024-01-09T00:00:00,,,,Appwrite,Appwrite CLI,before 3.0.0,N/A,~/.appwrite/prefs.json file,credentials stored with 0644 UNIX permissions,using the login command,access credentials from the file,User login command execution,Local system user access,Local,Local user access,Improper Access Control,Unauthorized access to stored credentials
CVE-2023-50348,"HCL DRYiCE MyXalytics is impacted by an improper error handling vulnerability. The application returns detailed error messages that can provide an attacker with insight into the application, system, etc.",2024-01-03T01:52:28.258Z,3.1,HCL Software,DRYiCE MyXalytics,HCL,DRYiCE MyXalytics,N/A,N/A,Improper error handling,Application returns detailed error messages,Accessing error-prone features,Analyze detailed error messages,No specific user interaction required,,Remote,Unauthenticated or low privilege,Improper error handling,Provides attacker with insight into the application and system
CVE-2023-50630,Cross Site Scripting (XSS) vulnerability in xiweicheng TMS v.2.28.0 allows a remote attacker to execute arbitrary code via a crafted script to the click here function.,2024-01-04T00:00:00,,,,xiweicheng,TMS,v.2.28.0,N/A,click here function,lacks proper sanitization of user input for the click here function,crafted script to the click here function,execute arbitrary code via a crafted script injection,Yes,,Remote,Unauthenticated,Cross Site Scripting (XSS),Allows a remote attacker to execute arbitrary code
CVE-2023-50094,reNgine before 2.1.2 allows OS Command Injection if an adversary has a valid session ID. The attack places shell metacharacters in an api/tools/waf_detector/?url= string. The commands are executed as root via subprocess.check_output.,2024-01-01T00:00:00,,,,reNgine,reNgine,before 2.1.2,N/A,api/tools/waf_detector/?url= parameter,no validation for OS command injection,placing shell metacharacters in the url parameter,inject OS commands via the url parameter,No,attacker needs to have a valid session ID,Remote,Valid session ID,OS Command Injection,Commands are executed as root
CVE-2023-50082,"Aoyun Technology pbootcms V3.1.2 is vulnerable to Incorrect Access Control, allows remote attackers to gain sensitive information via session leakage allows a user to avoid logging into the backend management platform.",2024-01-04T00:00:00,,,,Aoyun Technology,pbootcms,V3.1.2,N/A,backend management platform,session leakage,remote access without proper credentials,gain sensitive information via session leakage,No,,Remote,None,Incorrect Access Control,attacker can gain sensitive information and avoid logging into the backend management platform
CVE-2023-50256,"Froxlor is open source server administration software. Prior to version 2.1.2, it was possible to submit the registration form with the essential fields, such as the username and password, left intentionally blank. This inadvertent omission allowed for a bypass of the mandatory field requirements (e.g. surname, company name) established by the system. Version 2.1.2 fixes this issue.",2024-01-03T22:34:47.447Z,7.5,Froxlor,Froxlor,Froxlor,Froxlor server administration software,prior to 2.1.2,N/A,Registration form,Essential fields like username and password could be left blank,Submitting the registration form with blank fields,Submit registration form with required fields left blank,"Yes, submission of the registration form",,Remote,No privilege required,Input Validation Error,Bypass of mandatory field requirements
CVE-2023-50743,Online Notice Board System v1.0 is vulnerable to multiple Unauthenticated SQL Injection vulnerabilities. The 'dd' parameter of the registration.php resource does not validate the characters received and they are sent unfiltered to the database.,2024-01-04T14:08:35.684Z,9.8,Kashipara Group,Online Notice Board System,,Online Notice Board System,v1.0,N/A,registration.php resource,"Does not validate the characters received, unfiltered input sent to the database",Sending unexpected input via the 'dd' parameter,Inject malicious SQL via 'dd' parameter,No,,Remote,Unauthenticated,SQL Injection,Potential unauthorized access or manipulation of the database
CVE-2023-50922,"An issue was discovered on GL.iNet devices through 4.5.0. Attackers who are able to steal the AdminToken cookie can execute arbitrary code by uploading a crontab-formatted file to a specific directory and waiting for its execution. This affects A1300 4.4.6, AX1800 4.4.6, AXT1800 4.4.6, MT3000 4.4.6, MT2500 4.4.6, MT6000 4.5.0, MT1300 4.3.7, MT300N-V2 4.3.7, AR750S 4.3.7, AR750 4.3.7, AR300M 4.3.7, and B1300 4.3.7.",2024-01-03T00:00:00,,,,GL.iNet,GL.iNet devices,through 4.5.0,N/A,AdminToken cookie,Lack of proper validation or security allowing cookie theft,Uploading a crontab-formatted file to a specific directory,Steal the AdminToken cookie and upload crontab-formatted file,No,The system must accept uploaded crontab files for execution,Local or Remote depending on access,Authenticated as Admin or cookie theft,Arbitrary Code Execution,Execute arbitrary code on the device
CVE-2023-50921,"An issue was discovered on GL.iNet devices through 4.5.0. Attackers can invoke the add_user interface in the system module to gain root privileges. This affects A1300 4.4.6, AX1800 4.4.6, AXT1800 4.4.6, MT3000 4.4.6, MT2500 4.4.6, MT6000 4.5.0, MT1300 4.3.7, MT300N-V2 4.3.7, AR750S 4.3.7, AR750 4.3.7, AR300M 4.3.7, and B1300 4.3.7.",2024-01-03T00:00:00,,,,GL.iNet,GL.iNet devices,"through 4.5.0 (affecting A1300 4.4.6, AX1800 4.4.6, AXT1800 4.4.6, MT3000 4.4.6, MT2500 4.4.6, MT6000 4.5.0, MT1300 4.3.7, MT300N-V2 4.3.7, AR750S 4.3.7, AR750 4.3.7, AR300M 4.3.7, B1300 4.3.7)",N/A,add_user interface in the system module,N/A,invoke the add_user interface,invoke the add_user interface to gain root privileges,No,vulnerable software version installed,Remote or Local,N/A,Privilege Escalation,Gain of root privileges
CVE-2023-50096,"STMicroelectronics STSAFE-A1xx middleware before 3.3.7 allows MCU code execution if an adversary has the ability to read from and write to the I2C bus. This is caused by an StSafeA_ReceiveBytes buffer overflow in the X-CUBE-SAFEA1 Software Package for STSAFE-A sample applications (1.2.0), and thus can affect user-written code that was derived from a published sample application.",2024-01-01T00:00:00,,,,STMicroelectronics,STSAFE-A1xx middleware,before 3.3.7,N/A,StSafeA_ReceiveBytes,buffer overflow in the X-CUBE-SAFEA1 Software Package for STSAFE-A sample applications,ability to read from and write to the I2C bus,read from and write to the I2C bus,No,,Physical or local access to I2C bus,No specific privilege required beyond access to I2C bus,Buffer Overflow,MCU code execution
CVE-2023-50612,"Insecure Permissions vulnerability in fit2cloud Cloud Explorer Lite version 1.4.1, allow local attackers to escalate privileges and obtain sensitive information via the cloud accounts parameter.",2024-01-06T00:00:00,,,,fit2cloud,Cloud Explorer Lite,1.4.1,N/A,cloud accounts parameter,Insecure Permissions,Access to the cloud accounts parameter,Escalate privileges and obtain sensitive information,No,Local access to the system,Local,None,Insecure Permissions,Privilege escalation and exposure of sensitive information
CVE-2023-50019,"An issue was discovered in open5gs v2.6.6. InitialUEMessage, Registration request sent at a specific time can crash AMF due to incorrect error handling of Nudm_UECM_Registration response.",2024-01-02T00:00:00,,,,open5gs,open5gs,v2.6.6,N/A,AMF,incorrect error handling of Nudm_UECM_Registration response,"InitialUEMessage, Registration request sent at a specific time",Send Registration request at a specific time,No,,Remote,Unauthenticated,Denial of Service,Crash of AMF
CVE-2023-50643,An issue in Evernote Evernote for MacOS v.10.68.2 allows a remote attacker to execute arbitrary code via the RunAsNode and enableNodeClilnspectArguments components.,2024-01-09T00:00:00,,,,Evernote,Evernote for MacOS,v.10.68.2,MacOS,RunAsNode and enableNodeClilnspectArguments components,N/A,N/A,execute arbitrary code,N/A,N/A,Remote,N/A,Code Execution,Arbitrary code execution by remote attacker
CVE-2023-50090,Arbitrary File Write vulnerability in the saveReportFile method of ureport2 2.2.9 and before allows attackers to write arbitrary files and run arbitrary commands via crafted POST request.,2024-01-03T00:00:00,,,,,ureport2,2.2.9 and before,,saveReportFile method,Improper validation of input in the saveReportFile method,crafted POST request,write arbitrary files and run arbitrary commands,No,,Remote,Unauthenticated or low privilege,Arbitrary File Write,Ability for attackers to write arbitrary files and run arbitrary commands
CVE-2023-50930,"An issue was discovered in savignano S/Notify before 4.0.2 for Jira. While an administrative user is logged on, the configuration settings of S/Notify can be modified via a CSRF attack. The injection could be initiated by the administrator clicking a malicious link in an email or by visiting a malicious website. If executed while an administrator is logged on to Jira, an attacker could exploit this to modify the configuration of the S/Notify app on that host. This can, in particular, lead to email notifications being no longer encrypted when they should be.",2024-01-09T00:00:00,8.3,,,savignano,S/Notify for Jira,before 4.0.2,N/A,S/Notify configuration settings,CSRF vulnerability allows modification of settings,administrator clicking a malicious link or visiting a malicious website,exploit CSRF to modify app configuration,"Yes, administrator needs to click a link or visit a website",Administrator must be logged into Jira,Remote,Authenticated (Administrator),Cross-Site Request Forgery (CSRF),"Email notifications configuration can be improperly modified, leading to potential loss of encryption"
CVE-2023-50711,"vmm-sys-util is a collection of modules that provides helpers and utilities used by multiple rust-vmm components. Starting in version 0.5.0 and prior to version 0.12.0, an issue in the `FamStructWrapper::deserialize` implementation provided by the crate for `vmm_sys_util::fam::FamStructWrapper` can lead to out of bounds memory accesses. The deserialization does not check that the length stored in the header matches the flexible array length. Mismatch in the lengths might allow out of bounds memory access through Rust-safe methods. The issue was corrected in version 0.12.0 by inserting a check that verifies the lengths of compared flexible arrays are equal for any deserialized header and aborting deserialization otherwise. Moreover, the API was changed so that header length can only be modified through Rust-unsafe code. This ensures that users cannot trigger out-of-bounds memory access from Rust-safe code.",2024-01-02T20:02:28.225Z,5.7,rust-vmm,vmm-sys-util,N/A,vmm-sys-util,starting in version 0.5.0 and prior to version 0.12.0,N/A,FamStructWrapper::deserialize implementation,Deserialization does not check that the length stored in the header matches the flexible array length,Mismatch in the lengths might allow out of bounds memory access,Trigger out-of-bounds memory access through Rust-safe methods,No,,Local,N/A,Out of bounds memory access,Out of bounds memory access through Rust-safe methods
CVE-2023-50253,"Laf is a cloud development platform. In the Laf version design, the log uses communication with k8s to quickly retrieve logs from the container without the need for additional storage. However, in version 1.0.0-beta.13 and prior, this interface does not verify the permissions of the pod, which allows authenticated users to obtain any pod logs under the same namespace through this method, thereby obtaining sensitive information printed in the logs. As of time of publication, no known patched versions exist.",2024-01-03T16:45:11.778Z,9.7,labring,laf,Laf,Laf cloud development platform,1.0.0-beta.13 and prior,N/A,log retrieval interface with k8s,does not verify the permissions of the pod,request for pod logs without permission verification,obtain any pod logs under the same namespace,No,authenticated users within the same namespace,Remote,Authenticated,Improper Access Control,obtain sensitive information printed in the logs
CVE-2023-35702,Multiple stack-based buffer overflow vulnerabilities exist in the FST LEB128 varint functionality of GTKWave 3.3.115. A specially crafted .fst file can lead to arbitrary code execution. A victim would need to open a malicious file to trigger these vulnerabilities.This vulnerability concerns the fstReaderVarint32 function.,2024-01-08T14:48:00.814Z,7.8,GTKWave,GTKWave,GTKWave,GTKWave,3.3.115,N/A,FST LEB128 varint functionality,Multiple stack-based buffer overflow vulnerabilities,A victim opens a malicious .fst file,Craft and deliver a malicious .fst file,"Yes, user must open the malicious file",,Local,None,Stack-based Buffer Overflow,Arbitrary code execution
