cve_id,description,Software,Software Version,Vulnerability Type,Source,Reason,Privilege,Attacker Action,Trigger,System State,Consequences,Network Access,Exploit,Vendor,User Interaction,Patch,Operating System
CVE-2023-32874,"In Modem IMS Stack, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161803; Issue ID: MOLY01161803 (MSV-893).",Modem IMS Stack,,code execution,,out of bounds write due to a missing bounds check,no additional execution privileges needed,,,,,remote,,,User interaction is not needed for exploitation,Patch ID: MOLY01161803,
CVE-2023-32872,"In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308607; Issue ID: ALPS08308607.",keyInstall,,escalation of privilege,,out of bounds write due to a missing bounds check,System execution privileges needed,,,,,local,,,User interaction is not needed for exploitation,Patch ID: ALPS08308607,
CVE-2023-32878,"In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08307992.",battery,,,,information disclosure due to a missing bounds check,System execution privileges needed,information disclosure,,,,local,,,User interaction is not needed for exploitation,Patch ID: ALPS08308070,
CVE-2023-32884,"In netdagent, there is a possible information disclosure due to an incorrect bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS07944011; Issue ID: ALPS07944011.",netdagent,,escalation of privilege,,information disclosure due to an incorrect bounds check,System execution privileges needed,,,,,local,,,User interaction is not needed for exploitation,Patch ID: ALPS07944011,
CVE-2023-32888,"In Modem IMS Call UA, there is a possible out of bounds write due to a missing bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161830; Issue ID: MOLY01161830 (MSV-894).",Modem IMS Call UA,,denial of service,,out of bounds write due to a missing bounds check,no additional execution privileges needed,,,,,remote,,,User interaction is not needed for exploitation,Patch ID: MOLY01161830,
CVE-2023-26157,Versions of the package libredwg before 0.12.5.6384 are vulnerable to Denial of Service (DoS) due to an out-of-bounds read involving section->num_pages in decode_r2007.c.,libredwg,before 0.12.5.6384,Denial of Service (DoS),section->num_pages in decode_r2007.c,due to an out-of-bounds read involving section->num_pages in decode_r2007.c,,,,,,,,,,,
CVE-2023-26159,"Versions of the package follow-redirects before 1.15.4 are vulnerable to Improper Input Validation due to the improper handling of URLs by the url.parse() function. When new URL() throws an error, it can be manipulated to misinterpret the hostname. An attacker could exploit this weakness to redirect traffic to a malicious site, potentially leading to information disclosure, phishing attacks, or other security breaches.",follow-redirects,before 1.15.4,Improper Input Validation,url.parse() function,due to the improper handling of URLs by the url.parse() function,,"When new URL() throws an error, it can be manipulated to misinterpret the hostname",new URL() throws an error,,"An attacker could exploit this weakness to redirect traffic to a malicious site, potentially leading to information disclosure, phishing attacks, or other security breaches",,,,,,
CVE-2023-28583,Memory corruption when IPv6 prefix timer object`s lifetime expires which are created while Netmgr daemon gets an IPv6 address.,Netmgr daemon,,Memory corruption,IPv6 prefix timer object,IPv6 prefix timer object`s lifetime expires,,,while Netmgr daemon gets an IPv6 address,,,,,,,,
CVE-2023-33032,Memory corruption in TZ Secure OS while requesting a memory allocation from TA region.,TZ,,Memory corruption,Secure OS,,,,while requesting a memory allocation from TA region,,,,,,,,
CVE-2023-33037,Cryptographic issue in Automotive while unwrapping the key secs2d and verifying with RPMB data.,,,Cryptographic issue,,,,,while unwrapping the key secs2d and verifying with RPMB data,,,,,,,,
CVE-2023-33108,Memory corruption in Graphics Driver when destroying a context with KGSL_GPU_AUX_COMMAND_TIMELINE objects queued.,Graphics Driver,,Memory corruption,,,,,destroying a context,with KGSL_GPU_AUX_COMMAND_TIMELINE objects queued,,,,,,,
CVE-2023-33110,"The session index variable in PCM host voice audio driver initialized before PCM open, accessed during event callback from ADSP and reset during PCM close may lead to race condition between event callback - PCM close and reset session index causing memory corruption.",PCM host voice audio driver,,memory corruption,session index variable,,,,"initialized before PCM open, accessed during event callback from ADSP and reset during PCM close may lead to race condition between event callback",,,,,,,,
CVE-2023-43512,Transient DOS while parsing GATT service data when the total amount of memory that is required by the multiple services is greater than the actual size of the services buffer.,,,Transient DOS,GATT service data,the total amount of memory that is required by the multiple services is greater than the actual size of the services buffer,,,while parsing GATT service data,when the total amount of memory that is required by the multiple services is greater than the actual size of the services buffer,,,,,,,
CVE-2023-47039,"A vulnerability was found in Perl. This security issue occurs while Perl for Windows relies on the system path environment variable to find the shell (`cmd.exe`). When running an executable that uses the Windows Perl interpreter, Perl attempts to find and execute `cmd.exe` within the operating system. However, due to path search order issues, Perl initially looks for cmd.exe in the current working directory. This flaw allows an attacker with limited privileges to place`cmd.exe` in locations with weak permissions, such as `C:\ProgramData`. By doing so, arbitrary code can be executed when an administrator attempts to use this executable from these compromised locations.",,,path search order issues,Perl,"due to path search order issues, Perl initially looks for cmd.exe in the current working directory",limited privileges,place`cmd.exe` in locations with weak permissions,when an administrator attempts to use this executable from these compromised locations,,arbitrary code can be executed,,,,,,Windows
CVE-2023-49142,in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia audio crash through modify a released pointer.,OpenHarmony,v3.2.2 and prior versions,,,,,modify a released pointer,,,multimedia audio crash,local attacker,,,,,
CVE-2023-47858,"Mattermost fails to properly verify the permissions needed for viewing archived public channels,  allowing a member of one team to get details about the archived public channels of another team via the GET /api/v4/teams/<team-id>/channels/deleted endpoint.",Mattermost,,,GET /api/v4/teams/<team-id>/channels/deleted endpoint,fails to properly verify the permissions needed for viewing archived public channels,member of one team,,viewing archived public channels,,allowing a member of one team to get details about the archived public channels of another team,,,,,,
CVE-2023-6693,"A stack based buffer overflow was found in the virtio-net device of QEMU. This issue occurs when flushing TX in the virtio_net_flush_tx function if guest features VIRTIO_NET_F_HASH_REPORT, VIRTIO_F_VERSION_1 and VIRTIO_NET_F_MRG_RXBUF are enabled. This could allow a malicious user to overwrite local variables allocated on the stack. Specifically, the `out_sg` variable could be used to read a part of process memory and send it to the wire, causing an information leak.",QEMU,,stack based buffer overflow,virtio-net device of QEMU,,,overwrite local variables allocated on the stack,occurs when flushing TX in the virtio_net_flush_tx function,"if guest features VIRTIO_NET_F_HASH_REPORT, VIRTIO_F_VERSION_1 and VIRTIO_NET_F_MRG_RXBUF are enabled",causing an information leak,,,,,,
CVE-2023-6436,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Ekol Informatics Website Template allows SQL Injection.This issue affects Website Template: through 20231215.,Ekol Informatics Website Template,through 20231215,SQL Injection,,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),,,,,,,,,,,
CVE-2015-10128,A vulnerability was found in rt-prettyphoto Plugin up to 1.2 on WordPress and classified as problematic. Affected by this issue is the function royal_prettyphoto_plugin_links of the file rt-prettyphoto.php. The manipulation leads to cross site scripting. The attack may be launched remotely. Upgrading to version 1.3 is able to address this issue. The patch is identified as 0d3d38cfa487481b66869e4212df1cefc281ecb7. It is recommended to upgrade the affected component. VDB-249422 is the identifier assigned to this vulnerability.,rt-prettyphoto Plugin,up to 1.2,cross site scripting,function royal_prettyphoto_plugin_links of the file rt-prettyphoto.php,,,,,,,attack may be launched remotely,,,,The patch is identified as 0d3d38cfa487481b66869e4212df1cefc281ecb7,
CVE-2017-20188,A vulnerability has been found in Zimbra zm-ajax up to 8.8.1 and classified as problematic. Affected by this vulnerability is the function XFormItem.prototype.setError of the file WebRoot/js/ajax/dwt/xforms/XFormItem.js. The manipulation of the argument message leads to cross site scripting. The attack can be launched remotely. The complexity of an attack is rather high. The exploitation appears to be difficult. Upgrading to version 8.8.2 is able to address this issue. The identifier of the patch is 8d039d6efe80780adc40c6f670c06d21de272105. It is recommended to upgrade the affected component. The identifier VDB-249421 was assigned to this vulnerability.,Zimbra zm-ajax,up to 8.8.1,cross site scripting,function XFormItem.prototype.setError of the file WebRoot/js/ajax/dwt/xforms/XFormItem.js,,,manipulation of the argument message,,,,The attack can be launched remotely,,,,The identifier of the patch is 8d039d6efe80780adc40c6f670c06d21de272105,
CVE-2018-25097,"A vulnerability, which was classified as problematic, was found in Acumos Design Studio up to 2.0.7. Affected is an unknown function. The manipulation leads to cross site scripting. It is possible to launch the attack remotely. Upgrading to version 2.0.8 is able to address this issue. The name of the patch is 0df8a5e8722188744973168648e4c74c69ce67fd. It is recommended to upgrade the affected component. The identifier of this vulnerability is VDB-249420.",Acumos Design Studio,up to 2.0.7,cross site scripting,unknown function,,,,,,,It is possible to launch the attack remotely,,,,The name of the patch is 0df8a5e8722188744973168648e4c74c69ce67fd,
CVE-2023-4280,An unvalidated input in Silicon Labs TrustZone implementation in v4.3.x and earlier of the Gecko SDK allows an attacker to access the trusted region of memory from the untrusted region.,Gecko SDK,v4.3.x and earlier,,,unvalidated input,,,,,allows an attacker to access the trusted region of memory from the untrusted region,,,Silicon Labs,,,
CVE-2024-0193,"A use-after-free flaw was found in the netfilter subsystem of the Linux kernel. If the catchall element is garbage-collected when the pipapo set is removed, the element can be deactivated twice. This can cause a use-after-free issue on an NFT_CHAIN object or NFT_OBJECT object, allowing a local unprivileged user with CAP_NET_ADMIN capability to escalate their privileges on the system.",netfilter subsystem,,use-after-free,NFT_CHAIN object or NFT_OBJECT object,"If the catchall element is garbage-collected when the pipapo set is removed, the element can be deactivated twice",unprivileged user with CAP_NET_ADMIN capability,,,,escalate their privileges on the system,local,,,,,Linux kernel
CVE-2022-3010,"The Priva TopControl Suite contains predictable credentials for the SSH service, based on the Serial number. Which makes it possible for an attacker to calculate the login credentials for the Priva TopControll suite.",TopControl Suite,,,,"contains predictable credentials for the SSH service, based on the Serial number",,,,,makes it possible for an attacker to calculate the login credentials,,,Priva,,,
CVE-2023-48419,"An attacker in the wifi vicinity of a target Google Home can spy on the victim, resulting in Elevation of Privilege ",Google Home,,Elevation of Privilege,,,,spy on the victim,,,,wifi vicinity,,Google,,,
CVE-2023-7192,A memory leak problem was found in ctnetlink_create_conntrack in net/netfilter/nf_conntrack_netlink.c in the Linux Kernel. This issue may allow a local attacker with CAP_NET_ADMIN privileges to cause a denial of service (DoS) attack due to a refcount overflow.,,,memory leak problem,ctnetlink_create_conntrack in net/netfilter/nf_conntrack_netlink.c,due to a refcount overflow,CAP_NET_ADMIN privileges,,,,cause a denial of service (DoS) attack,local,,,,,Linux Kernel
CVE-2023-49794,"KernelSU is a Kernel-based root solution for Android devices. In versions 0.7.1 and prior, the logic of get apk path in KernelSU kernel module can be bypassed, which causes any malicious apk named `me.weishu.kernelsu` get root permission. If a KernelSU module installed device try to install any not checked apk which package name equal to the official KernelSU Manager, it can take over root privileges on the device. As of time of publication, a patched version is not available.",KernelSU,0.7.1 and prior,,get apk path,the logic of get apk path in KernelSU kernel module can be bypassed,,a KernelSU module installed device try to install any not checked apk which package name equal to the official KernelSU Manager,,,can take over root privileges on the device,,,,,,Android
CVE-2023-50711,"vmm-sys-util is a collection of modules that provides helpers and utilities used by multiple rust-vmm components. Starting in version 0.5.0 and prior to version 0.12.0, an issue in the `FamStructWrapper::deserialize` implementation provided by the crate for `vmm_sys_util::fam::FamStructWrapper` can lead to out of bounds memory accesses. The deserialization does not check that the length stored in the header matches the flexible array length. Mismatch in the lengths might allow out of bounds memory access through Rust-safe methods. The issue was corrected in version 0.12.0 by inserting a check that verifies the lengths of compared flexible arrays are equal for any deserialized header and aborting deserialization otherwise. Moreover, the API was changed so that header length can only be modified through Rust-unsafe code. This ensures that users cannot trigger out-of-bounds memory access from Rust-safe code.",vmm-sys-util,0.5.0 and prior to version 0.12.0,out of bounds memory access,`FamStructWrapper::deserialize` implementation provided by the crate for `vmm_sys_util::fam::FamStructWrapper`,The deserialization does not check that the length stored in the header matches the flexible array length,,,,,,,,,,,
CVE-2023-45892,An issue discovered in the Order and Invoice pages in Floorsight Insights Q3 2023 allows an unauthenticated remote attacker to view sensitive customer information.,Floorsight Insights,,,Order and Invoice pages,,unauthenticated,,,,view sensitive customer information,remote,,Floorsight,,,
CVE-2023-47458,An issue in SpringBlade v.3.7.0 and before allows a remote attacker to escalate privileges via the lack of permissions control framework.,SpringBlade,v.3.7.0 and before,,via the lack of permissions control framework,,,,,,escalate privileges,remote,,,,,
CVE-2024-0194,"A vulnerability, which was classified as critical, has been found in CodeAstro Internet Banking System up to 1.0. This issue affects some unknown processing of the file pages_account.php of the component Profile Picture Handler. The manipulation leads to unrestricted upload. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249509 was assigned to this vulnerability.",CodeAstro Internet Banking System,up to 1.0,,unknown processing of the file pages_account.php of the component Profile Picture Handler,,,,,,leads to unrestricted upload,attack may be initiated remotely,The exploit has been disclosed to the public and may be used,,,,
CVE-2024-0195,"A vulnerability, which was classified as critical, was found in spider-flow 0.4.3. Affected is the function FunctionService.saveFunction of the file src/main/java/org/spiderflow/controller/FunctionController.java. The manipulation leads to code injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. VDB-249510 is the identifier assigned to this vulnerability.",spider-flow,0.4.3,code injection,function FunctionService.saveFunction of the file src/main/java/org/spiderflow/controller/FunctionController.java,,,,,,,It is possible to launch the attack remotely,The exploit has been disclosed to the public and may be used,,,,
CVE-2024-21623,"OTCLient is an alternative tibia client for otserv. Prior to commit db560de0b56476c87a2f967466407939196dd254, the /mehah/otclient ""`Analysis - SonarCloud`"" workflow is vulnerable to an expression injection in Actions, allowing an attacker to run commands remotely on the runner, leak secrets, and alter the repository using this workflow. Commit db560de0b56476c87a2f967466407939196dd254 contains a fix for this issue.",OTCLient,Prior to commit db560de0b56476c87a2f967466407939196dd254,expression injection,"/mehah/otclient ""`Analysis - SonarCloud`"" workflow",,,,,,"allowing an attacker to run commands remotely on the runner, leak secrets, and alter the repository using this workflow",remotely,,,,Commit db560de0b56476c87a2f967466407939196dd254 contains a fix for this issue,
CVE-2024-21627,"PrestaShop is an open-source e-commerce platform. Prior to versions 8.1.3 and 1.7.8.11, some event attributes are not detected by the `isCleanHTML` method. Some modules using the `isCleanHTML` method could be vulnerable to cross-site scripting. Versions 8.1.3 and 1.7.8.11 contain a patch for this issue. The best workaround is to use the `HTMLPurifier` library to sanitize html input coming from users. The library is already available as a dependency in the PrestaShop project. Beware though that in legacy object models, fields of `HTML` type will call `isCleanHTML`.",PrestaShop,Prior to versions 8.1.3 and 1.7.8.11,cross-site scripting,`isCleanHTML` method,some event attributes are not detected by the `isCleanHTML` method,,,,,,,,,,Versions 8.1.3 and 1.7.8.11 contain a patch for this issue,
CVE-2020-26625,A SQL injection vulnerability was discovered in Gila CMS 1.15.4 and earlier which allows a remote attacker to execute arbitrary web scripts via the 'user_id' parameter after the login portal.,Gila CMS,1.15.4 and earlier,SQL injection,via the 'user_id' parameter,,,,,after the login portal,allows a remote attacker to execute arbitrary web scripts,remote,,,,,
CVE-2023-50019,"An issue was discovered in open5gs v2.6.6. InitialUEMessage, Registration request sent at a specific time can crash AMF due to incorrect error handling of Nudm_UECM_Registration response.",open5gs,v2.6.6,,,due to incorrect error handling of Nudm_UECM_Registration response,,,Registration request sent at a specific time,,can crash AMF,,,,,,
CVE-2024-0196,A vulnerability has been found in Magic-Api up to 2.0.1 and classified as critical. Affected by this vulnerability is an unknown functionality of the file /resource/file/api/save?auto=1. The manipulation leads to code injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249511.,Magic-Api,up to 2.0.1,code injection,unknown functionality of the file /resource/file/api/save?auto=1,,,,,,,The attack can be launched remotely,The exploit has been disclosed to the public and may be used,,,,
CVE-2024-21629,"Rust EVM is an Ethereum Virtual Machine interpreter. In `rust-evm`, a feature called `record_external_operation` was introduced, allowing library users to record custom gas changes. This feature can have some bogus interactions with the call stack. In particular, during finalization of a `CREATE` or `CREATE2`, in the case that the substack execution happens successfully, `rust-evm` will first commit the substate, and then call `record_external_operation(Write(out_code.len()))`. If `record_external_operation` later fails, this error is returned to the parent call stack, instead of `Succeeded`. Yet, the substate commitment already happened. This causes smart contracts able to commit state changes, when the parent caller contract receives zero address (which usually indicates that the execution has failed). This issue only impacts library users with custom `record_external_operation` that returns errors. The issue is patched in release 0.41.1. No known workarounds are available.",Rust EVM,,,feature called `record_external_operation`,"If `record_external_operation` later fails, this error is returned to the parent call stack, instead of `Succeeded`. Yet, the substate commitment already happened",,,"in the case that the substack execution happens successfully, `rust-evm` will first commit the substate, and then call `record_external_operation(Write(out_code.len()))`",impacts library users with custom `record_external_operation` that returns errors,"This causes smart contracts able to commit state changes, when the parent caller contract receives zero address (which usually indicates that the execution has failed)",,,,,,
CVE-2024-21632,"omniauth-microsoft_graph provides an Omniauth strategy for the Microsoft Graph API. Prior to versions 2.0.0, the implementation did not validate the legitimacy of the `email` attribute of the user nor did it give/document an option to do so, making it susceptible to nOAuth misconfiguration in cases when the `email` is used as a trusted user identifier. This could lead to account takeover. Version 2.0.0 contains a fix for this issue.",omniauth-microsoft_graph,Prior to versions 2.0.0,,`email` attribute,the implementation did not validate the legitimacy of the `email` attribute of the user nor did it give/document an option to do so,,,nOAuth misconfiguration in cases when the `email` is used as a trusted user identifier,,This could lead to account takeover.,,,Microsoft,,,
